critic/critic_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,loss,step
tensor(139071.8042, device='cuda:0', dtype=torch.float64),tensor(7383.2998, device='cuda:0'),tensor(7408.0566, device='cuda:0'),tensor(5895.3838, device='cuda:0'),tensor(-7780.6998, device='cuda:0', dtype=torch.float64),tensor(0.1374, device='cuda:0', dtype=torch.float64),tensor(0.0952, device='cuda:0'),tensor(131291.1044, device='cuda:0', dtype=torch.float64),85000
tensor(373.2800, device='cuda:0', dtype=torch.float64),tensor(7685.1284, device='cuda:0'),tensor(7742.5371, device='cuda:0'),tensor(1533.0968, device='cuda:0'),tensor(-8167.8262, device='cuda:0', dtype=torch.float64),tensor(0.1257, device='cuda:0', dtype=torch.float64),tensor(0.0610, device='cuda:0'),tensor(-7794.5462, device='cuda:0', dtype=torch.float64),90000
tensor(53363.2588, device='cuda:0', dtype=torch.float64),tensor(8093.4995, device='cuda:0'),tensor(8275.4463, device='cuda:0'),tensor(961.0529, device='cuda:0'),tensor(-8599.9488, device='cuda:0', dtype=torch.float64),tensor(0.1384, device='cuda:0', dtype=torch.float64),tensor(0.0683, device='cuda:0'),tensor(44763.3100, device='cuda:0', dtype=torch.float64),95000
tensor(7724.9964, device='cuda:0', dtype=torch.float64),tensor(8452.1904, device='cuda:0'),tensor(8540.5898, device='cuda:0'),tensor(261.0736, device='cuda:0'),tensor(-8984.2108, device='cuda:0', dtype=torch.float64),tensor(0.1371, device='cuda:0', dtype=torch.float64),tensor(0.0802, device='cuda:0'),tensor(-1259.2143, device='cuda:0', dtype=torch.float64),100000
tensor(39685.8735, device='cuda:0', dtype=torch.float64),tensor(8533.8789, device='cuda:0'),tensor(8691.6123, device='cuda:0'),tensor(-220.6854, device='cuda:0'),tensor(-9145.1253, device='cuda:0', dtype=torch.float64),tensor(0.1365, device='cuda:0', dtype=torch.float64),tensor(0.0679, device='cuda:0'),tensor(30540.7482, device='cuda:0', dtype=torch.float64),105000
tensor(4078.3138, device='cuda:0', dtype=torch.float64),tensor(8628.7188, device='cuda:0'),tensor(8801.6289, device='cuda:0'),tensor(4519.0977, device='cuda:0'),tensor(-9167.5692, device='cuda:0', dtype=torch.float64),tensor(0.1410, device='cuda:0', dtype=torch.float64),tensor(0.1357, device='cuda:0'),tensor(-5089.2554, device='cuda:0', dtype=torch.float64),110000
tensor(292.3527, device='cuda:0', dtype=torch.float64),tensor(9006.3457, device='cuda:0'),tensor(9082.5645, device='cuda:0'),tensor(1271.3556, device='cuda:0'),tensor(-9554.2385, device='cuda:0', dtype=torch.float64),tensor(0.1403, device='cuda:0', dtype=torch.float64),tensor(0.0745, device='cuda:0'),tensor(-9261.8858, device='cuda:0', dtype=torch.float64),115000
tensor(641.1312, device='cuda:0', dtype=torch.float64),tensor(9163.6836, device='cuda:0'),tensor(9282.1816, device='cuda:0'),tensor(-216.7823, device='cuda:0'),tensor(-9754.3264, device='cuda:0', dtype=torch.float64),tensor(0.1345, device='cuda:0', dtype=torch.float64),tensor(0.0677, device='cuda:0'),tensor(-9113.1951, device='cuda:0', dtype=torch.float64),120000
tensor(78651.5672, device='cuda:0', dtype=torch.float64),tensor(9062.9424, device='cuda:0'),tensor(9198.6113, device='cuda:0'),tensor(2021.7213, device='cuda:0'),tensor(-9602.6426, device='cuda:0', dtype=torch.float64),tensor(0.1263, device='cuda:0', dtype=torch.float64),tensor(0.1001, device='cuda:0'),tensor(69048.9246, device='cuda:0', dtype=torch.float64),125000
tensor(138567.9442, device='cuda:0', dtype=torch.float64),tensor(8610.9873, device='cuda:0'),tensor(8736.7656, device='cuda:0'),tensor(1248.2141, device='cuda:0'),tensor(-9342.5057, device='cuda:0', dtype=torch.float64),tensor(0.1129, device='cuda:0', dtype=torch.float64),tensor(0.0939, device='cuda:0'),tensor(129225.4385, device='cuda:0', dtype=torch.float64),130000
tensor(387.1575, device='cuda:0', dtype=torch.float64),tensor(9132.3125, device='cuda:0'),tensor(9182.7344, device='cuda:0'),tensor(-971.4417, device='cuda:0'),tensor(-9650.1005, device='cuda:0', dtype=torch.float64),tensor(0.1202, device='cuda:0', dtype=torch.float64),tensor(0.1436, device='cuda:0'),tensor(-9262.9430, device='cuda:0', dtype=torch.float64),135000
tensor(26702.7882, device='cuda:0', dtype=torch.float64),tensor(9566.1992, device='cuda:0'),tensor(9705.0625, device='cuda:0'),tensor(-1016.9536, device='cuda:0'),tensor(-10166.7255, device='cuda:0', dtype=torch.float64),tensor(0.1347, device='cuda:0', dtype=torch.float64),tensor(0.0895, device='cuda:0'),tensor(16536.0627, device='cuda:0', dtype=torch.float64),140000
tensor(196165.2584, device='cuda:0', dtype=torch.float64),tensor(10219.2246, device='cuda:0'),tensor(10451.7900, device='cuda:0'),tensor(4201.7954, device='cuda:0'),tensor(-10814.7268, device='cuda:0', dtype=torch.float64),tensor(0.1396, device='cuda:0', dtype=torch.float64),tensor(0.0828, device='cuda:0'),tensor(185350.5316, device='cuda:0', dtype=torch.float64),145000
